id,username,rating_star,rating_bad,rating_good,rating_normal,item_count,follower_count,place,response_rate,response_time,create_time,crawled_time
231801028,litibabyvietnam,4.898867,49,8783,157,911,30183,"Quận Thanh Xuân, Hà Nội",87,5055.0,1582967465,1698388345.3172817
116232883,rabity.vn,4.927769,83,16672,194,393,197970,"Quận Hoàng Mai, Hà Nội",98,3742.0,1545587006,1698388345.4822726
75123404,soxbox,4.805505,7,543,18,149,1003,"Quận Cầu Giấy, Hà Nội",84,756.0,1529288942,1698388345.6527293
290383014,beddepkids_clothes,4.927885,38,8572,99,77,70750,"Quận Bắc Từ Liêm, Hà Nội",38,,1596009048,1698388345.8142974
240798902,jadiny_official,4.86239,20,2185,60,415,7146,"Quận Tân Phú, TP. Hồ Chí Minh",88,8492.0,1585728002,1698388345.9925084
827899600,skids_boy,4.86979,34,5405,128,168,16371,"Quận Bắc Từ Liêm, Hà Nội",100,4154.0,1658911370,1698388346.157756
69010342,lamm.cs01,4.896524,6,1227,33,175,12903,"Quận Cầu Giấy, Hà Nội",43,2019.0,1526017197,1698388346.3215888
334358322,icotton.official,4.88755,40,4964,104,140,29676,"Thành Phố Tuyên Quang, Tuyên Quang",80,9456.0,1604816946,1698388346.4812896
298563272,luckybigcat.vn,4.929099,155,25186,307,71,14108,,60,17118.0,1597819189,1698388346.6612575
815546911,mompavn,4.804836,20,1110,42,181,4781,"Thành Phố Bắc Ninh, Bắc Ninh",94,1705.0,1657513650,1698388346.835844
173392916,yody.official,4.914695,867,165366,2366,186,1109237,"Thành Phố Hải Dương, Hải Dương",100,1550.0,1566876790,1698388347.0083008
400405513,dollarkids.store,4.903223,106,20501,362,66,40072,"Quận Bình Tân, TP. Hồ Chí Minh",90,8999.0,1615336835,1698388347.1976342
802225812,kysplus.offical,4.849328,8,1018,38,20,5123,"Quận Ba Đình, Hà Nội",73,10313.0,1656071746,1698388347.3725054
70681764,canifa_official,4.880292,967,109618,2328,602,493437,"Huyện Văn Giang, Hưng Yên",100,5488.0,1526982933,1698388347.5333903
490415221,thehousekidsvn,4.905759,1,187,3,68,3738,"Quận Đống Đa, Hà Nội",80,12074.0,1626364571,1698388347.7006333
256712430,lalalune.vn,4.952381,1,195,1,128,1227,"Quận 1, TP. Hồ Chí Minh",17,349.0,1588406200,1698388347.894141
207416211,shopmechauchau,4.974462,27,24137,93,657,110407,"Quận Đống Đa, Hà Nội",89,5227.0,1575859524,1698388348.0582743
177433291,ualarogo88,4.907612,250,28872,448,460,99959,"Thành Phố Bắc Ninh, Bắc Ninh",95,5636.0,1567956212,1698388348.237791
63475883,aincloset,4.927381,52,11279,144,1469,131778,"Thành Phố Tam Kỳ, Quảng Nam",100,4541.0,1522722525,1698388348.4146066
149554358,haki.net.vn,4.948392,3,1531,11,220,51457,"Quận Hoàng Mai, Hà Nội",73,5616.0,1558514773,1698388348.578352
